Community_id,star_value,Nodes,len
0,0.0174,"['0', '91', '120', '161', '79', '12', '99', '43', '94', '185', '54', '959']",12
1,0.0162,"['2', '122', '985', '824', '781', '889', '894', '895', '786', '999', '957', '911', '909']",13
2,0.0177,"['8', '116', '109', '169', '15', '193']",6
3,0.0168,"['10', '13', '107', '11', '186', '180', '29', '30', '104', '775', '81', '834', '821', '991', '800', '807', '993', '839', '767']",19
4,0.0163,"['14', '127', '6', '78', '168', '16', '904', '187', '791', '35', '794', '830', '901', '997', '843', '887', '900', '921', '846', '780', '770', '885', '949', '937', '942', '923', '871', '922', '965', '907', '958', '893', '964', '796', '810', '823', '876', '862', '919', '955', '968', '851']",42
5,0.0189,"['20', '87']",2
6,0.0188,"['24', '145']",2
7,0.0167,"['27', '189', '55', '103', '112', '124', '162', '60', '67', '23', '167', '861', '933', '808', '908', '983', '757', '831', '776', '913', '970', '819', '869', '979', '766', '845', '878']",27
8,0.0169,"['28', '184', '34', '66', '110', '69', '113', '848', '984', '157', '129', '96', '151', '803', '873', '769', '812', '925', '763', '837', '752', '804', '976']",23
9,0.018,"['42', '53', '160', '192', '48']",5
10,0.0179,"['45', '101', '108', '146', '41', '147', '191', '5', '106', '56', '139']",11
11,0.0182,"['47', '125', '137', '178', '197', '195', '126', '76', '141', '62', '128']",11
12,0.0173,"['57', '93', '25', '46', '138', '115', '165', '943', '953', '884', '931']",11
13,0.0181,"['59', '114', '119', '83', '88', '7', '194']",7
14,0.0158,"['68', '792', '934', '971', '891', '974', '972', '882', '879', '860', '929', '988', '760']",13
15,0.0165,"['89', '166', '176', '877', '156', '71', '750', '863', '826', '927', '858', '813', '859', '764', '844', '914', '870', '778', '849', '853', '758', '864', '793']",23
16,0.0176,"['90', '136', '105', '134', '172', '97', '154', '183', '9', '65', '173']",11
17,0.0178,"['95', '33', '158', '171', '36', '182', '84']",7
18,0.0172,"['132', '177', '38', '121', '123', '92', '144', '37', '63', '64', '118', '827', '902', '773']",14
19,0.0157,"['135', '100', '950', '175', '912', '856', '886', '963', '883', '944', '898', '828']",12
20,0.0166,"['140', '75', '44', '772', '49', '70', '150', '102', '58', '941', '152', '986', '787', '938', '852', '890', '857', '981', '842', '833', '946', '816', '989', '782', '799', '875', '930', '847', '802', '753', '754', '966']",32
21,0.0186,"['155', '149', '82']",3
22,0.0161,"['170', '788', '72', '117', '798', '806', '835', '797', '814', '967', '926', '918', '982', '801', '947', '790', '948', '906', '789', '829']",20
23,0.0183,"['198', '31']",2
24,0.0104,"['200', '213', '253', '305', '320', '486', '308', '228', '275', '398', '388', '492', '262', '311', '381', '342', '265', '321', '329', '426', '341', '383', '210', '416', '448', '208', '303', '207', '367', '412', '489', '424', '339', '495', '277', '343', '229', '284', '346', '348', '326', '382', '429', '250', '387', '441', '355', '432', '466', '465', '225', '362', '462', '249', '292', '478', '422', '475']",58
25,0.0102,"['256', '443', '242', '267', '304', '224', '233', '270', '302', '401', '347', '447', '334', '371', '223', '226', '328', '419', '205', '232', '296', '459', '437', '389', '276', '403', '445', '377', '474', '269', '214', '316', '281', '408', '482', '434', '222', '238', '352', '241', '425', '468', '313', '469', '353', '301', '365', '397', '480', '221', '257', '394', '244', '493', '272', '393', '360', '428', '324', '220']",60
26,0.0103,"['295', '484', '450', '245', '319', '349', '359', '402', '458', '497', '282', '431', '460', '384', '455', '246', '285', '380', '252', '278', '280', '414', '473', '481', '386', '219', '273', '279', '471', '234', '247', '358', '255', '361', '330', '415', '323', '364', '300', '438', '230', '258', '464', '470', '227', '488', '289', '476', '203', '248', '260', '483', '298', '496', '375', '266', '274', '454', '421', '494', '420', '444', '288', '407', '333', '463', '400', '390', '206', '218', '236', '211', '335', '396', '268', '499', '259', '202', '366', '251', '405', '436']",82
27,0.0105,"['392', '363', '442', '452', '491', '374', '368', '215', '344', '406', '354', '477', '336', '399', '243', '439', '449', '283', '338', '376', '423', '254', '370', '209', '485', '201', '456', '379', '391', '372', '216', '378', '293', '331', '467']",35
28,0.0132,"['641', '705', '684', '555', '742', '504', '652', '537', '606', '615', '676', '518', '524', '608', '673', '582', '711', '667', '732', '748', '534', '701', '508', '559', '635', '672', '714', '546', '593', '716', '541', '704', '544', '674', '577', '607', '634', '734', '723', '603', '523', '693', '543', '600', '575', '745', '558', '611', '580', '624', '572', '671', '581', '527']",54
29,0.0134,"['725', '556', '648', '651', '614', '717', '515', '694', '744', '597', '533', '633', '660', '737', '516', '594', '659', '715', '690', '605', '619', '642', '583', '617', '618', '632', '547', '540', '721', '740', '647', '570', '551', '511', '589', '696', '545', '530', '616', '669', '610', '746']",42
30,0.0159,"['924', '784', '892', '174', '995', '196', '960', '977', '765', '987', '841', '825', '954', '762', '832', '838']",16
31,0.0171,"['1', '77', '133', '142', '73', '179', '39', '51', '74', '159', '86', '80', '98', '896', '164', '17', '131', '26', '836', '755', '897']",21
32,0.017,"['21', '143', '50', '153', '188', '998', '855', '899', '973', '774', '945', '854', '928', '874', '939', '761']",16
33,0.0133,"['561', '503', '505', '639', '502', '578', '708', '739', '668', '586', '564', '646', '549', '695', '662', '510', '631', '571', '598', '509', '733', '621', '568', '622', '609', '521', '637', '588', '535', '506', '542', '613', '529', '706', '592', '591', '601', '720', '679', '709', '682', '536', '655', '675']",44
34,0.0137,"['649', '526', '602', '596', '522', '627', '719', '507', '670']",9
35,0.0164,"['916', '920', '795', '840', '867', '936', '962', '917', '759', '771', '969', '888', '809', '996', '978', '805', '980', '865', '951', '811', '822', '868', '820', '815', '935']",25
36,0.016,"['148', '181', '905', '111', '783', '880', '903', '952', '992', '818', '940', '817']",12
37,0.0101,"['357', '307', '314', '457', '310', '417', '291', '435', '490', '453', '487', '299', '385', '411', '317', '237', '472', '297', '217', '231', '356', '290', '351', '350', '318', '286', '395', '204', '410', '433', '261', '440', '327', '373', '409', '263', '309', '306', '451', '340', '479', '498']",42
38,0.0129,"['604', '688', '650', '625', '747', '560', '677', '552', '573', '741', '713', '681', '643']",13
39,0.0175,"['3', '18', '52', '85', '190', '199', '22', '19']",8
40,0.0184,"['32', '163']",2
