Community_id,Nodes,len
0,"['650', '731', '566', '636', '509', '710', '701', '588', '697', '647', '585', '523', '545', '628', '580', '671', '536', '654', '587']",19
1,"['402', '342', '278', '426', '240', '247', '367', '339', '332', '495', '377', '250', '400', '301', '446', '365', '225', '249', '360']",19
2,"['916', '792', '975', '768', '891', '843', '836', '814', '783', '867', '812', '959', '866', '974', '825', '942', '870', '850', '922', '992', '963', '753', '860', '785', '838']",25
3,"['8', '57', '59', '90', '91', '1', '66', '145', '197', '11', '99', '103', '105', '133', '172', '195', '3', '32', '43', '73', '94', '186', '54', '76', '85', '106', '115', '192', '74', '7', '86', '40', '102', '163', '167', '173', '56', '48']",38
4,"['526', '502', '698', '532', '550', '717', '597', '680', '660', '687', '676', '726', '623', '733', '692', '715', '748', '619', '661', '699', '508', '521', '637', '663', '531', '632', '747', '656', '716', '721', '740', '590', '734', '500', '560', '551', '529', '603', '507', '514', '601', '696', '573', '611', '610', '527']",46
5,"['788', '858', '920', '852', '895', '926', '915', '903', '841', '786', '969', '777', '823', '822', '988', '828', '815', '864', '935', '939']",20
6,"['924', '750', '892', '941', '977', '808', '997', '824', '900', '781', '846', '953', '890', '872', '770', '776', '885', '765', '981', '987', '937', '763', '800', '854', '982', '996', '801', '965', '999', '886', '805', '930', '804', '957', '796', '810', '779', '909', '762', '881', '868', '820', '853', '940', '766', '955', '976', '793', '829', '761']",50
7,"['13', '20', '24', '28', '42', '45', '47', '95', '101', '125', '155', '161', '177', '184', '189', '198', '33', '55', '78', '79', '93', '108', '116', '121', '146', '158', '171', '178', '25', '36', '41', '87', '110', '112', '134', '149', '92', '113', '126', '138', '143', '147', '182', '52', '88', '97', '144', '160', '179', '37', '39', '50', '82', '150', '169', '118', '183', '15', '65', '190', '22', '96', '139', '165', '84', '17']",66
8,"['904', '861', '927', '813', '943', '998', '908', '986', '830', '934', '787', '901', '971', '938', '803', '795', '921', '840', '844', '780', '936', '962', '774', '821', '880', '894', '856', '994', '857', '917', '925', '946', '910', '913', '970', '755', '972', '923', '778', '809', '756', '978', '947', '990', '869', '932', '847', '964', '956', '883', '897', '879', '898', '832', '929', '948', '876', '862', '817', '919', '845', '878']",62
9,"['347', '427', '386', '210', '439', '234', '361', '235', '464', '248', '346', '281', '379', '454', '421', '216', '239', '463', '236', '211', '475']",21
10,"['443', '484', '442', '242', '307', '312', '334', '417', '223', '341', '416', '303', '415', '453', '323', '389', '487', '343', '403', '269', '411', '317', '237', '375', '408', '274', '482', '217', '231', '444', '288', '356', '325', '480', '244', '204', '410', '493', '373', '263', '324', '337']",42
