Community_id,Nodes,len
1,"['201', '245', '208', '156', '74', '76', '154']",7
2,"['233', '391', '270', '478']",4
3,"['486', '336', '277', '399', '423', '469']",6
4,"['368', '415', '300', '438', '412', '248', '418', '498', '254', '281', '683', '541']",12
5,"['648', '347', '687', '697', '340', '91', '99', '117', '129', '173', '107', '114', '53', '67', '128']",15
6,"['442', '219', '303', '395', '440', '324', '345', '330', '485', '375', '472', '257', '450', '528', '631', '537', '421', '238', '718', '413', '430', '346', '467', '251', '961', '884', '542', '914', '610', '767', '120', '176', '148', '19', '35', '963']",36
7,"['460', '406', '310', '229', '351', '465', '499', '388', '285', '487', '476', '348', '454', '405']",14
8,"['431', '384', '273', '341', '416', '283', '239', '259', '282', '477', '424', '376', '203', '260', '244', '294', '307', '247', '474', '333', '301', '462', '293', '360', '284', '665', '619', '559', '672', '745', '558', '599', '200', '708', '650', '571', '673', '315', '702', '746', '505', '553', '685', '588', '546', '693', '507', '681', '42', '916', '7', '40', '104', '194', '836', '821']",56
9,"['295', '304', '371', '210', '205', '364', '230', '355', '287', '308', '344', '461', '316', '382', '352', '322', '337', '616', '253', '724', '338', '509', '266', '562', '658', '736', '727', '641', '561', '160', '848', '997', '776', '991', '612', '603', '170', '1', '16', '86', '62', '151', '814', '867', '785']",45
10,"['497', '381', '453', '209', '408', '297', '372', '407', '206', '271', '452', '374', '398', '380', '243', '379', '482', '432', '331', '327', '215', '264', '252', '235', '470', '353', '225', '493', '409', '263', '503', '666', '332', '276', '464', '463', '290', '236', '410', '538']",40
11,"['262', '321', '383', '212', '369', '385', '318', '211', '335', '475', '479', '213', '513', '526', '739', '662', '582', '703', '632', '350', '576', '713', '604', '574', '659', '621', '521', '596', '716', '522', '545', '752', '741', '564', '646', '684', '642', '617', '593', '560', '849', '807', '572', '675']",44
12,"['363', '242', '224', '404', '401', '427', '437', '343', '356', '425', '390', '366', '256', '311', '278', '417', '328', '445', '411', '326', '446', '272', '433', '306', '502', '515', '744', '695', '234', '731', '566', '676', '524', '701', '638', '544', '639', '359', '614', '549', '660', '518', '711', '623', '583', '714', '529', '525', '649', '232', '737', '516', '501', '590', '500', '585', '679', '671', '654', '548', '110', '143', '863', '830', '535', '540', '700', '967', '915', '720', '819', '883', '116', '94', '118', '167', '48', '891', '959', '774', '870', '753', '838', '939']",84
13,"['455', '265', '426', '296', '489', '490', '323', '403', '317', '274', '400', '362', '292', '320', '228', '447', '449', '358', '377', '456', '434', '468', '378', '466', '397', '393', '602', '694', '504', '299', '726', '749', '534', '661', '663', '647', '268', '511', '678']",39
14,"['392', '443', '314', '492', '207', '240', '488', '429', '387', '444', '288', '441', '480', '218', '491', '357', '319', '402', '458', '457', '226', '367', '269', '298', '217', '241', '221', '249', '305', '354', '342', '280', '414', '473', '439', '255', '361', '313', '365', '286', '396', '428', '275', '302', '386', '419', '510', '495', '370', '622', '656', '422', '261', '436', '220', '451', '550', '620', '615', '636', '598', '594', '692', '609', '710', '740', '613', '674', '579', '600', '8', '161', '197', '3', '18', '73', '191', '153', '102', '193', '56', '196', '923', '817']",84
15,"['735', '626', '680', '608', '595', '690', '699', '895', '765', '837', '918', '957', '536', '557', '630', '34', '38', '172', '4', '97', '49', '85', '180', '792', '199', '975', '782', '958', '932', '956', '24', '137', '31', '100', '145', '11', '105', '61', '83', '106', '159', '163', '22', '812', '860']",45
16,"['563', '578', '651', '784', '730', '539', '625', '721', '926', '734', '723', '706', '677', '543', '653', '552', '10', '57', '90', '132', '135', '36', '134', '44', '904', '80', '98', '26', '908', '942', '992', '897']",32
18,"['484', '267', '481', '291', '329', '448', '471', '459', '389', '258', '227', '250', '222', '231', '420', '394', '204', '202', '349', '246', '312', '334', '223', '279', '435', '339', '289', '214', '483', '237', '496', '494', '216', '325', '373', '309', '877', '924', '126', '984', '30', '896', '794', '983', '667', '605', '962', '759', '763', '972', '573', '790', '822', '839', '20', '89', '155', '25', '71', '195', '43', '46', '39', '54', '70', '115', '192', '65', '927', '84', '943', '875']",72
19,"['556', '705', '645', '584', '533', '652', '743', '565', '569', '568', '508', '637', '523', '512', '601', '628', '611', '682', '581', '788', '689', '717', '742', '606', '554', '733', '732', '664', '635', '618', '747', '519', '592', '696', '980', '865', '655', '818', '59', '66', '130', '182', '88', '109', '826', '58', '17', '175', '998', '899', '934', '806', '938', '840', '994', '978', '761']",57
20,"['698', '586', '985', '532', '960', '597', '912', '715', '748', '531', '722', '547', '704', '506', '686', '551', '965', '643', '779', '587', '79', '144', '50', '977', '688', '798', '707', '917', '842', '771', '607', '634', '644', '570', '799', '804', '517', '640', '815', '874', '68', '33', '72', '728', '950', '933', '633', '781', '889', '627', '925', '989', '786', '805', '777', '964', '580', '944', '754', '906', '2', '45', '95', '189', '171', '147', '179', '181', '63', '165', '131', '900', '834', '947', '898', '929', '820', '940', '828', '845']",80
21,"['14', '101', '725', '162', '668', '567', '827', '858', '941', '824', '844', '629', '936', '981', '577', '974', '575', '979', '823', '657', '881', '158', '149', '169', '190', '555', '905', '901', '691', '757', '872', '816', '903', '841', '712', '882', '530', '802', '811', '762', '988', '868', '125', '78', '87', '122', '150', '51', '797', '803', '920', '783', '873', '890', '910', '825', '888', '871', '801', '999', '893', '911', '670', '127', '198', '136', '103', '32', '60', '92', '168', '52', '892', '183', '188', '174', '23', '768', '921', '953', '809', '886', '928', '793']",84
22,"['13', '77', '108', '112', '113', '750', '37', '995', '787', '769', '773', '856', '931', '987', '755', '969', '930', '669', '832', '853', '976', '966']",22
23,"['28', '140', '21', '41', '124', '138', '861', '986', '859', '795', '780', '937', '751', '756', '709', '796', '951', '993', '948', '789', '758', '864', '829']",23
24,"['166', '55', '178', '772', '775', '791', '855', '738', '887', '764', '831', '846', '852', '520', '952', '589', '591', '514', '996', '624', '909', '527', '968', '935', '47', '184', '185', '186', '64', '187', '96', '902', '164', '81', '813', '971', '843', '770', '885', '866', '719', '778', '990', '847', '954', '879', '876', '862']",48
25,"['0', '27', '177', '6', '121', '12', '75', '123', '142', '69', '119', '82', '9', '141', '29', '111', '808', '880', '894', '857', '850', '869', '955', '878', '851']",25
26,"['93', '146', '133', '5', '15', '157', '139', '152', '835', '973', '833', '949', '946', '913', '970', '945', '800', '854', '982', '922', '907', '810', '729', '766', '919', '760']",26
